"airf_names";"airf_links";"airf_date";"airf_latitude";"airf_longitude";"airf_com";"airf_runway";"airf_runwaytype";"airf_runway_length";"airf_runway_width"
"1";"Biberach a.d. Riß";"/wiki/Flugplatz_Biberach_a.d._Ri%C3%9F";1903;48.111;9.7628333333333;"smallest 19**-number found in article";"0980×23";"A";980;23
"2";"Borkum";"/wiki/Flugplatz_Borkum";1902;53.5955;6.7091666666667;"smallest 19**-number found in article";"1000×20";"A";1000;20
"3";"Freiburg i. Br.";"/wiki/Flugplatz_Freiburg";1907;48.022652777778;7.8325833333333;"smallest 19**-number found in article";"1240×30";"A";1240;30
"4";"Husum-Schwesing";"/wiki/Flugplatz_Husum-Schwesing";1930;54.509444444444;9.1369444444444;"smallest 19**-number found in article";"1450×30";"A";1450;30
"5";"Krefeld-Egelsberg";"/wiki/Flugplatz_Krefeld-Egelsberg";1920;51.385;6.5877777777778;"smallest 19**-number found in article";"0640×30";"G";640;30
"6";"Merseburg";"/wiki/Flugplatz_Merseburg";1925;51.361944444444;11.950555555556;"smallest 19**-number found in article";"1140×30";"B";1140;30
"7";"Neuhardenberg";"/wiki/Flugplatz_Neuhardenberg";1930;52.613;14.242666666667;"smallest 19**-number found in article";"2400×50";"B";2400;50
"8";"Neumagen-Dhron";"/wiki/Flugplatz_Neumagen-Dhron";1900;49.8425;6.9163888888889;"smallest 19**-number found in article";"0750×30";"G";750;30
"9";"Norden-Norddeich";"/wiki/Flugplatz_Norden-Norddeich";1902;53.633128;7.190278;"smallest 19**-number found in article";"0720×20";"A";720;20
"10";"Nordhorn-Lingen";"/wiki/Flugplatz_Nordhorn-Lingen";1913;52.457777777778;7.1758333333333;"smallest 19**-number found in article";"0900×20";"A";900;20
"11";"Rechlin-Lärz";"/wiki/Flugplatz_Rechlin-L%C3%A4rz";1916;53.306416666667;12.753138888889;"smallest 19**-number found in article";"2380×50";"B";2380;50
"12";"Speyer";"/wiki/Flugplatz_Speyer";1913;49.304833333333;8.4515;"smallest 19**-number found in article";"1677×30";"A";1677;30
"13";"Stade";"/wiki/Flugplatz_Stade";1930;53.561111111111;9.4990277777778;"smallest 19**-number found in article";"0650×15";"B";650;15
"14";"Stölln/Rhinow";"/wiki/Flugplatz_St%C3%B6lln/Rhinow";1910;52.740833333333;12.39;"smallest 19**-number found in article";"0840×40";"G";840;40
"15";"Taucha";"/wiki/Flugplatz_Taucha";1928;51.394666666667;12.536833333333;"smallest 19**-number found in article";"0600×30";"G";600;30
"16";"Wangerooge";"/wiki/Flugplatz_Wangerooge";1920;53.788888888889;7.9166666666667;"smallest 19**-number found in article";"0850×20";"A";850;20
"17";"Wolfhagen „Graner Berg“";"/wiki/Flugplatz_Wolfhagen-Graner_Berg";1905;51.307166666667;9.1740277777778;"smallest 19**-number found in article";"0500×30";"G";500;30
